




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
BRISC complex (GO:0070552)	6	4	.87	+	4.62	5.07E-03	2.05E-02
nuclear inclusion body (GO:0042405)	12	8	1.73	+	4.62	5.32E-05	3.50E-04
Hrd1p ubiquitin ligase complex (GO:0000836)	6	4	.87	+	4.62	5.07E-03	2.04E-02
U2 snRNP (GO:0005686)	27	18	3.89	+	4.62	8.79E-10	1.01E-08
oligosaccharyltransferase complex A (GO:0160226)	9	6	1.30	+	4.62	5.08E-04	2.76E-03
paraspeckles (GO:0042382)	9	6	1.30	+	4.62	5.08E-04	2.75E-03
nucleocytoplasmic transport complex (GO:0031074)	12	8	1.73	+	4.62	5.32E-05	3.49E-04
MICOS complex (GO:0061617)	9	6	1.30	+	4.62	5.08E-04	2.75E-03
flotillin complex (GO:0016600)	9	6	1.30	+	4.62	5.08E-04	2.74E-03
intercellular canaliculus (GO:0046581)	6	4	.87	+	4.62	5.07E-03	2.04E-02
ribosome (GO:0005840)	232	154	33.46	+	4.60	1.16E-73	7.08E-72
large ribosomal subunit (GO:0015934)	114	74	16.44	+	4.50	6.23E-35	2.13E-33
small nuclear ribonucleoprotein complex (GO:0030532)	76	49	10.96	+	4.47	2.18E-23	4.74E-22
oligosaccharyltransferase complex (GO:0008250)	14	9	2.02	+	4.46	2.68E-05	1.85E-04
nuclear envelope lumen (GO:0005641)	11	7	1.59	+	4.41	2.49E-04	1.48E-03
proteasome core complex, beta-subunit complex (GO:0019774)	11	7	1.59	+	4.41	2.49E-04	1.47E-03
melanosome (GO:0042470)	112	71	16.15	+	4.40	1.40E-32	4.41E-31
pigment granule (GO:0048770)	112	71	16.15	+	4.40	1.40E-32	4.34E-31
catalytic step 2 spliceosome (GO:0071013)	90	57	12.98	+	4.39	2.17E-26	5.48E-25
U2-type catalytic step 2 spliceosome (GO:0071007)	30	19	4.33	+	4.39	1.09E-09	1.25E-08
small-subunit processome (GO:0032040)	73	46	10.53	+	4.37	1.99E-21	4.10E-20
rough endoplasmic reticulum membrane (GO:0030867)	27	17	3.89	+	4.37	9.58E-09	1.02E-07
presynaptic endocytic zone (GO:0098833)	8	5	1.15	+	4.33	2.38E-03	1.08E-02
tRNA-splicing ligase complex (GO:0072669)	8	5	1.15	+	4.33	2.38E-03	1.08E-02
zonula adherens (GO:0005915)	8	5	1.15	+	4.33	2.38E-03	1.08E-02
F-actin capping protein complex (GO:0008290)	8	5	1.15	+	4.33	2.38E-03	1.07E-02
preribosome, large subunit precursor (GO:0030687)	16	10	2.31	+	4.33	1.33E-05	9.70E-05
respiratory chain complex I (GO:0045271)	48	30	6.92	+	4.33	2.61E-14	4.22E-13
pyruvate dehydrogenase complex (GO:0045254)	8	5	1.15	+	4.33	2.38E-03	1.07E-02
oxoglutarate dehydrogenase complex (GO:0045252)	8	5	1.15	+	4.33	2.38E-03	1.07E-02
NADH dehydrogenase complex (GO:0030964)	48	30	6.92	+	4.33	2.61E-14	4.18E-13
organellar small ribosomal subunit (GO:0000314)	32	20	4.61	+	4.33	5.58E-10	6.70E-09
