




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
hippocampal mossy fiber expansion (GO:1990026)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic spindle midzone (GO:1990023)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic spindle midzone (GO:1990385)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle (GO:0098992)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
macropinocytic cup (GO:0070685)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GBAF complex (GO:0140288)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary base (GO:0097546)	50	0	.05	-	 < 0.01	1.00E00	1.00E00
axonemal doublet microtubule (GO:0097545)	49	0	.05	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-endosome membrane contact site (GO:0140284)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary inversin compartment (GO:0097543)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
spindle (GO:0005819)	452	0	.44	-	 < 0.01	1.00E00	1.00E00
ciliary tip (GO:0097542)	69	0	.07	-	 < 0.01	1.00E00	1.00E00
aster (GO:0005818)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
axonemal basal plate (GO:0097541)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule organizing center (GO:0005815)	993	0	.97	-	 < 0.01	6.23E-01	1.00E00
centriole (GO:0005814)	197	0	.19	-	 < 0.01	1.00E00	1.00E00
centrosome (GO:0005813)	768	0	.75	-	 < 0.01	1.00E00	1.00E00
transmembrane collagen trimer (GO:0030936)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid droplet (GO:0005811)	108	0	.10	-	 < 0.01	1.00E00	1.00E00
NADPH oxidase complex (GO:0043020)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site membrane (GO:0034045)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
glucosidase II complex (GO:0017177)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
asymmetric, glutamatergic, excitatory synapse (GO:0098985)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
ensheathing process (GO:1990015)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron to neuron synapse (GO:0098984)	403	0	.39	-	 < 0.01	1.00E00	1.00E00
symmetric, GABA-ergic, inhibitory synapse (GO:0098983)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
GABA-ergic synapse (GO:0098982)	116	0	.11	-	 < 0.01	1.00E00	1.00E00
cholinergic synapse (GO:0098981)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary transition fiber (GO:0097539)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase complex (GO:0000015)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
ATR-ATRIP complex (GO:0070310)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MIB complex (GO:0140275)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
pituitary gonadotropin complex (GO:0061696)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	306	0	.30	-	 < 0.01	1.00E00	1.00E00
beta-N-acetylhexosaminidase complex (GO:1905379)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network (GO:0005802)	275	0	.27	-	 < 0.01	1.00E00	1.00E00
cis-Golgi network (GO:0005801)	78	0	.08	-	 < 0.01	1.00E00	1.00E00
hexameric IgM immunoglobulin complex (GO:0071757)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase complex (GO:1905370)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
pentameric IgM immunoglobulin complex (GO:0071756)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
IgM B cell receptor complex (GO:0071755)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
IgM immunoglobulin complex, circulating (GO:0071754)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear periphery (GO:0034399)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
IgM immunoglobulin complex (GO:0071753)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
secretory dimeric IgA immunoglobulin complex (GO:0071752)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neurosecretory vesicle (GO:1990008)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
secretory IgA immunoglobulin complex (GO:0071751)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
dimeric IgA immunoglobulin complex (GO:0071750)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
granular vesicle (GO:1990005)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-plasma membrane contact site (GO:0140268)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
tricellular tight junction (GO:0061689)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
spliceosomal tri-snRNP complex (GO:0097526)	37	0	.04	-	 < 0.01	1.00E00	1.00E00
spliceosomal snRNP complex (GO:0097525)	67	0	.07	-	 < 0.01	1.00E00	1.00E00
sperm plasma membrane (GO:0097524)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
COP9 signalosome (GO:0008180)	35	0	.03	-	 < 0.01	1.00E00	1.00E00
BCOR complex (GO:0140261)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endopeptidase complex (GO:1905369)	100	0	.10	-	 < 0.01	1.00E00	1.00E00
peptidase complex (GO:1905368)	130	0	.13	-	 < 0.01	1.00E00	1.00E00
Smc5-Smc6 complex (GO:0030915)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
polymeric IgA immunoglobulin complex (GO:0071749)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
monomeric IgA immunoglobulin complex (GO:0071748)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
GTPase complex (GO:1905360)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
IgA immunoglobulin complex, circulating (GO:0071746)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
IgA immunoglobulin complex (GO:0071745)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
IgE B cell receptor complex (GO:0071744)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgE immunoglobulin complex (GO:0071742)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
perisynaptic extracellular matrix (GO:0098966)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
triglyceride-rich plasma lipoprotein particle (GO:0034385)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
terminal web (GO:1990357)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
extracellular matrix of synaptic cleft (GO:0098965)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA recombinase complex (GO:0097519)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear RNA export factor complex (GO:0042272)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
contractile actin filament bundle (GO:0097517)	86	0	.08	-	 < 0.01	1.00E00	1.00E00
glucose transporter complex (GO:1990350)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
HAUS complex (GO:0070652)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin II filament (GO:0097513)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule (GO:0061673)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic 80S initiation complex (GO:0033291)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic 48S preinitiation complex (GO:0033290)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
retromer, cargo-selective complex (GO:0030906)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
retromer, tubulation complex (GO:0030905)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
retromer complex (GO:0030904)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
exoribonuclease complex (GO:1905354)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
PRC1 complex (GO:0035102)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
IgD immunoglobulin complex (GO:0071738)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
FACT complex (GO:0035101)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
IgG immunoglobulin complex (GO:0071735)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
lysosomal proton-transporting V-type ATPase complex (GO:0046611)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NMDA selective glutamate receptor complex (GO:0017146)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic endosome membrane (GO:0098954)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
THO complex (GO:0000347)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription export complex (GO:0000346)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
Rad6-Rad18 complex (GO:0097505)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Gemini of Cajal bodies (GO:0097504)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA polymerase processivity factor complex (GO:0044796)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
perforant pathway to dendrate granule cell synapse (GO:0140240)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endonuclease complex (GO:1905348)	40	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA (m7G46) methyltransferase complex (GO:0106143)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease complex (GO:1905347)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
spindle midzone (GO:0051233)	38	0	.04	-	 < 0.01	1.00E00	1.00E00
spherical high-density lipoprotein particle (GO:0034366)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
discoidal high-density lipoprotein particle (GO:0034365)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle (GO:0034364)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic recycling endosome membrane (GO:0098944)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
intermediate-density lipoprotein particle (GO:0034363)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle (GO:0034362)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle (GO:0034361)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
USH2 complex (GO:1990696)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
chylomicron remnant (GO:0034360)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Ire1 complex (GO:1990332)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytosolic translation preinitiation complex (GO:0070993)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
translation initiation complex (GO:0070992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
symbiont cell surface (GO:0106139)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor TFTC complex (GO:0033276)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
TOM complex (GO:0140596)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
telomerase catalytic core complex (GO:0000333)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
paranode region of axon (GO:0033270)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic vesicle lumen (GO:0060205)	331	0	.32	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted glutamate transport vesicle membrane (GO:0060203)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted acetylcholine transport vesicle membrane (GO:0060201)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted acetylcholine transport vesicle (GO:0060200)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mature chylomicron (GO:0034359)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
plasma lipoprotein particle (GO:0034358)	37	0	.04	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network membrane (GO:0031095)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
immunological synapse (GO:0001772)	48	0	.05	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network (GO:0031094)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule lumen (GO:0031093)	67	0	.07	-	 < 0.01	1.00E00	1.00E00
collagen type XXVI trimer (GO:1990324)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein N-acetylglucosaminyltransferase complex (GO:0017122)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule membrane (GO:0031092)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule (GO:0031091)	91	0	.09	-	 < 0.01	1.00E00	1.00E00
internode region of axon (GO:0033269)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIK complex (GO:0070985)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
node of Ranvier (GO:0033268)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex (GO:0070622)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CSF1-CSF1R complex (GO:1990682)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase III-beta-TDRD3 complex (GO:0140225)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
procentriole replication complex (GO:0120099)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
procentriole (GO:0120098)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
storage vacuole (GO:0000322)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
zeta DNA polymerase complex (GO:0016035)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
CORVET complex (GO:0033263)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
vacuole-isolation membrane contact site (GO:0120095)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
septin collar (GO:0032173)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi transport complex (GO:0017119)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
PAM complex, Tim23 associated import motor (GO:0001405)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet dense granule lumen (GO:0031089)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet dense granule membrane (GO:0031088)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
SAM complex (GO:0001401)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
lamellar body (GO:0042599)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
BLOC-3 complex (GO:0031085)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Atg1/ULK1 kinase complex (GO:1990316)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
Grb2-Sos complex (GO:0070618)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BLOC-2 complex (GO:0031084)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
extrinsic component of dense core granule membrane (GO:0098922)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BLOC-1 complex (GO:0031083)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna membrane (GO:1990676)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BLOC complex (GO:0031082)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi medial cisterna membrane (GO:1990675)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi cis cisterna membrane (GO:1990674)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear pore outer ring (GO:0031080)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
organellar large ribosomal subunit (GO:0000315)	54	0	.05	-	 < 0.01	1.00E00	1.00E00
CENP-A containing chromatin (GO:0061638)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Bcl3/NF-kappaB2 complex (GO:0033257)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
organellar small ribosomal subunit (GO:0000314)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
I-kappaB/NF-kappaB complex (GO:0033256)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
organellar ribosome (GO:0000313)	86	0	.08	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum exit site (GO:0070971)	33	0	.03	-	 < 0.01	1.00E00	1.00E00
Derlin-1 retrotranslocation complex (GO:0036513)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor complex (GO:1903143)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase complex (GO:0017109)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pore complex (GO:0046930)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
zymogen granule membrane (GO:0042589)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
zymogen granule (GO:0042588)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleocytoplasmic transport complex (GO:0031074)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
PCSK9-AnxA2 complex (GO:1990667)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycogen granule (GO:0042587)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
U11/U12 snRNP (GO:0034693)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
PCSK9-LDLR complex (GO:1990666)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
photoreceptor outer segment (GO:0001750)	95	0	.09	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
AnxA2-p11 complex (GO:1990665)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
germinal vesicle (GO:0042585)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic cyclin-dependent protein kinase holoenzyme complex (GO:0000308)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Nkx-2.5 complex (GO:1990664)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	68	0	.07	-	 < 0.01	1.00E00	1.00E00
chromaffin granule membrane (GO:0042584)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
SWI/SNF superfamily-type complex (GO:0070603)	95	0	.09	-	 < 0.01	1.00E00	1.00E00
integrin alphaD-beta2 complex (GO:0034690)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chromaffin granule (GO:0042583)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
S100A9 complex (GO:1990662)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
azurophil granule (GO:0042582)	154	0	.15	-	 < 0.01	1.00E00	1.00E00
S100A8 complex (GO:1990661)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calprotectin complex (GO:1990660)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Derlin-1-VIMP complex (GO:0036502)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UFD1-NPL4 complex (GO:0036501)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
syntrophin complex (GO:0016013)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
sarcoglycan complex (GO:0016012)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
dystroglycan complex (GO:0016011)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
autolysosome (GO:0044754)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
amphisome (GO:0044753)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
dystrophin-associated glycoprotein complex (GO:0016010)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
septin cytoskeleton (GO:0032156)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
cleavage furrow (GO:0032154)	55	0	.05	-	 < 0.01	1.00E00	1.00E00
cell division site (GO:0032153)	68	0	.07	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein granule (GO:0035770)	731	0	.71	-	 < 0.01	1.00E00	1.00E00
integrin alphaX-beta2 complex (GO:0034689)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alphaM-beta2 complex (GO:0034688)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alphaL-beta2 complex (GO:0034687)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta8 complex (GO:0034686)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
microbody (GO:0042579)	149	0	.14	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta6 complex (GO:0034685)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta5 complex (GO:0034684)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
XY body (GO:0001741)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta3 complex (GO:0034683)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Barr body (GO:0001740)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta1 complex (GO:0034682)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA polymerase complex (GO:0042575)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
integrin alpha11-beta1 complex (GO:0034681)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alpha10-beta1 complex (GO:0034680)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MICOS complex (GO:0061617)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
immunoglobulin complex, circulating (GO:0042571)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic checkpoint complex (GO:0033597)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
TSC1-TSC2 complex (GO:0033596)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
BRCA2-MAGE-D1 complex (GO:0033593)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TEAD-YAP complex (GO:0140552)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear matrix (GO:0016363)	131	0	.13	-	 < 0.01	1.00E00	1.00E00
4-aminobutyrate transaminase complex (GO:0032144)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
host cell (GO:0043657)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
sex chromatin (GO:0001739)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha9-beta1 complex (GO:0034679)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alpha8-beta1 complex (GO:0034678)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alpha7-beta1 complex (GO:0034677)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alpha6-beta4 complex (GO:0034676)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alpha6-beta1 complex (GO:0034675)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
C/EBP complex (GO:1990647)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor binary complex (GO:0042568)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alpha5-beta1 complex (GO:0034674)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor ternary complex (GO:0042567)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
inhibin-betaglycan-ActRII complex (GO:0034673)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA nuclear export complex (GO:0042565)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NLS-dependent protein nuclear import complex (GO:0042564)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
elongator holoenzyme complex (GO:0033588)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome passenger complex (GO:0032133)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha4-beta7 complex (GO:0034669)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ruffle (GO:0001726)	189	0	.18	-	 < 0.01	1.00E00	1.00E00
integrin alpha4-beta1 complex (GO:0034668)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
stress fiber (GO:0001725)	86	0	.08	-	 < 0.01	1.00E00	1.00E00
integrin alpha3-beta1 complex (GO:0034667)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dense core granule (GO:0031045)	47	0	.05	-	 < 0.01	1.00E00	1.00E00
integrin alpha1-beta1 complex (GO:0034665)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Dsl1/NZR complex (GO:0070939)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum chaperone complex (GO:0034663)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
contractile ring (GO:0070938)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
proximal dendrite (GO:1990635)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
CRD-mediated mRNA stability complex (GO:0070937)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
MCM complex (GO:0042555)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
IRE1-RACK1-PP2A complex (GO:1990630)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle lumen (GO:0070931)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellular protein-containing complex (GO:0140535)	980	0	.95	-	 < 0.01	6.23E-01	1.00E00
stereocilium base (GO:0120044)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
catenin complex (GO:0016342)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
stereocilium shaft (GO:0120043)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic density, intracellular component (GO:0099092)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
myelin sheath adaxonal region (GO:0035749)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization, intracellular component (GO:0099091)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
myelin sheath abaxonal region (GO:0035748)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
dense core granule membrane (GO:0032127)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
GID complex (GO:0034657)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholamban complex (GO:1990629)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Elg1 RFC-like complex (GO:0031391)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CHOP-ATF3 complex (GO:1990622)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Ctf18 RFC-like complex (GO:0031390)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ANPR-A receptor complex (GO:1990620)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ESCRT-0 complex (GO:0033565)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptonemal structure (GO:0099086)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA helicase complex (GO:0033202)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
heterotetrameric polyprenyl diphosphate synthase complex (GO:0032478)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
SMC loading complex (GO:0032116)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
polyprenyl diphosphate synthase complex (GO:0032476)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Set1C/COMPASS complex (GO:0048188)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
PCNA complex (GO:0043626)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of mitochondrial outer membrane (GO:0032473)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
delta DNA polymerase complex (GO:0043625)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Rad17 RFC-like complex (GO:0031389)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
