




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cytoplasm (GO:0005737)	12419	20	12.07	+	1.66	8.19E-05	1.65E-02
dendrite (GO:0030425)	630	1	.61	+	1.63	4.63E-01	1.00E00
dendritic tree (GO:0097447)	632	1	.61	+	1.63	4.64E-01	1.00E00
organelle envelope (GO:0031967)	1320	2	1.28	+	1.56	3.70E-01	1.00E00
protein-containing complex (GO:0032991)	5972	9	5.80	+	1.55	1.38E-01	1.00E00
intracellular membrane-bounded organelle (GO:0043231)	12348	17	12.00	+	1.42	2.24E-02	5.31E-01
membrane-bounded organelle (GO:0043227)	13453	18	13.07	+	1.38	1.85E-02	4.93E-01
intracellular organelle (GO:0043229)	13467	18	13.09	+	1.38	1.87E-02	4.89E-01
intracellular anatomical structure (GO:0005622)	15126	20	14.70	+	1.36	3.73E-03	2.69E-01
mitochondrial membrane (GO:0031966)	792	1	.77	+	1.30	5.44E-01	1.00E00
organelle (GO:0043226)	14290	18	13.89	+	1.30	5.13E-02	8.28E-01
organelle lumen (GO:0043233)	5831	7	5.67	+	1.24	4.68E-01	1.00E00
intracellular organelle lumen (GO:0070013)	5831	7	5.67	+	1.24	4.68E-01	1.00E00
membrane-enclosed lumen (GO:0031974)	5831	7	5.67	+	1.24	4.68E-01	1.00E00
cytoskeleton (GO:0005856)	2568	3	2.50	+	1.20	7.31E-01	1.00E00
somatodendritic compartment (GO:0036477)	857	1	.83	+	1.20	5.73E-01	1.00E00
nucleus (GO:0005634)	7765	9	7.55	+	1.19	4.98E-01	1.00E00
catalytic complex (GO:1902494)	1820	2	1.77	+	1.13	6.95E-01	1.00E00
cellular anatomical structure (GO:0110165)	18867	20	18.34	+	1.09	4.05E-01	1.00E00
cellular_component (GO:0005575)	18952	20	18.42	+	1.09	4.00E-01	1.00E00
transferase complex (GO:1990234)	963	1	.94	+	1.07	6.17E-01	1.00E00
intracellular membraneless organelle (GO:0043232)	5875	6	5.71	+	1.05	8.10E-01	1.00E00
