




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (18)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
alpha-1B adrenergic receptor binding (GO:0031692)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adrenergic receptor binding (GO:0031690)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type I, activating receptor activity (GO:0004909)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor activity (GO:0004908)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
type II interferon receptor activity (GO:0004906)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K79 trimethyltransferase activity (GO:0140956)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
type I interferon receptor activity (GO:0004905)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K36 trimethyltransferase activity (GO:0140955)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
interferon receptor activity (GO:0004904)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K36 dimethyltransferase activity (GO:0140954)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor activity (GO:0004903)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Fas-activated serine/threonine kinase activity (GO:0033867)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid transmembrane transporter activity (GO:0008028)	71	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3K27 dimethyltransferase activity (GO:0140952)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K27 trimethyltransferase activity (GO:0140951)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
erythropoietin receptor activity (GO:0004900)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2A deubiquitinase activity (GO:0140950)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
UMP kinase activity (GO:0033862)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
A2A adenosine receptor binding (GO:0031687)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
single-stranded 3'-5' DNA helicase activity (GO:1990518)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
A1 adenosine receptor binding (GO:0031686)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled photoreceptor activity (GO:0008020)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine receptor binding (GO:0031685)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
G-protein beta/gamma-subunit complex binding (GO:0031683)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
G-protein gamma-subunit binding (GO:0031682)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G-protein beta-subunit binding (GO:0031681)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3K9 trimethyltransferase activity (GO:0140949)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3K9 monomethyltransferase activity (GO:0140948)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3K9me2 methyltransferase activity (GO:0140947)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3K4 dimethyltransferase activity (GO:0140946)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
citrate-L-glutamate ligase activity (GO:0072591)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K4 monomethyltransferase activity (GO:0140945)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine kinase activity (GO:0033858)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyl-L-aspartate-L-glutamate ligase activity (GO:0072590)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4K20 monomethyltransferase activity (GO:0140944)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
5-diphosphoinositol pentakisphosphate 1-kinase activity (GO:0033857)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4K20 trimethyltransferase activity (GO:0140943)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K9 dimethyltransferase activity (GO:0140942)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule binding (GO:0008017)	283	0	.25	-	 < 0.01	1.00E00	1.00E00
histone H4K20me methyltransferase activity (GO:0140941)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2A methyltransferase activity (GO:0140940)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-catenin binding (GO:0008013)	108	0	.09	-	 < 0.01	1.00E00	1.00E00
histone H4 methyltransferase activity (GO:0140939)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3 methyltransferase activity (GO:0140938)	43	0	.04	-	 < 0.01	1.00E00	1.00E00
acireductone dioxygenase [iron(II)-requiring] activity (GO:0010309)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4K12 deacetylase activity, hydrolytic mechanism (GO:0140937)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acireductone dioxygenase (Ni2+-requiring) activity (GO:0010308)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
17-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0072582)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H2B deubiquitinase activity (GO:0140936)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deubiquitinase activity (GO:0140934)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase activity (GO:0140933)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-(N(7)-methyl 5'-triphosphoguanosine)-[mRNA] diphosphatase activity (GO:0140932)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose:sodium symporter activity (GO:0140930)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyl-beta-glucosaminyl-derivative 4-beta-N-acetylgalactosaminyltransferase activity (GO:0033842)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,4-glucan glucosyltransferase (NDP-glucose donor) activity (GO:0033840)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoprotein binding (GO:0051219)	95	0	.08	-	 < 0.01	1.00E00	1.00E00
dioxygenase activity (GO:0051213)	93	0	.08	-	 < 0.01	1.00E00	1.00E00
mannose:sodium symporter activity (GO:0140929)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
poly-ADP-D-ribose binding (GO:0072572)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
L-kynurenine transmembrane transporter activity (GO:0140926)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mono-ADP-D-ribose binding (GO:0072571)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP-D-ribose binding (GO:0072570)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartate:glutamate, proton antiporter activity (GO:0000515)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3-sulfino-L-alanine: proton, glutamate antiporter activity (GO:0000514)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
H2A-H2B histone complex chaperone activity (GO:0000511)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity (GO:0033829)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane destabilizing activity (GO:0140912)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
pore-forming activity (GO:0140911)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
procollagen glucosyltransferase activity (GO:0033823)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K122 acetyltransferase activity (GO:0140908)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
halogenase activity (GO:0140906)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoyl(octanoyl) transferase activity (GO:0033819)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
haloperoxidase activity (GO:0140905)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-glutamine:sodium symporter activity (GO:0140902)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-asparagine:sodium symporter activity (GO:0140901)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
propanoyl-CoA C-acyltransferase activity (GO:0033814)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chloride:bicarbonate antiporter activity (GO:0140900)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase regulator activity (GO:0060590)	50	0	.04	-	 < 0.01	1.00E00	1.00E00
L-cysteine desulfhydrase activity (GO:0080146)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-tyrosine binding (GO:0072545)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-DOPA binding (GO:0072544)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase activator activity (GO:0072542)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
peroxynitrite reductase activity (GO:0072541)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine transmembrane transporter activity (GO:0015199)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
opioid receptor binding (GO:0031628)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
L-tryptophan transmembrane transporter activity (GO:0015196)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-threonine transmembrane transporter activity (GO:0015195)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-endorphin binding (GO:0031626)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine transmembrane transporter activity (GO:0015194)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin protein ligase binding (GO:0031625)	302	0	.26	-	 < 0.01	1.00E00	1.00E00
L-proline transmembrane transporter activity (GO:0015193)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme binding (GO:0031624)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine transmembrane transporter activity (GO:0015192)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-methionine transmembrane transporter activity (GO:0015191)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-leucine transmembrane transporter activity (GO:0015190)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid 2-hydroxylase activity (GO:0080132)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lysine transmembrane transporter activity (GO:0015189)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
L-isoleucine transmembrane transporter activity (GO:0015188)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine transmembrane transporter activity (GO:0015187)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
L-glutamine transmembrane transporter activity (GO:0015186)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cystine transmembrane transporter activity (GO:0015184)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transporter activity (GO:0015183)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
L-asparagine transmembrane transporter activity (GO:0015182)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
L-alanine transmembrane transporter activity (GO:0015180)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
crotonyl-CoA hydratase activity (GO:0120092)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP transmembrane transporter activity (GO:0080122)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
toxin transmembrane transporter activity (GO:0019534)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
oxalate transmembrane transporter activity (GO:0019531)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
Roundabout binding (GO:0048495)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
gap junction channel activity involved in cell communication by electrical coupling (GO:1903763)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynapse (GO:0099186)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic intermediate filament cytoskeleton (GO:0099184)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-amino acid transmembrane transporter activity (GO:0015179)	60	0	.05	-	 < 0.01	1.00E00	1.00E00
structural constituent of presynapse (GO:0099181)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neutral L-amino acid transmembrane transporter activity (GO:0015175)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
basic amino acid transmembrane transporter activity (GO:0015174)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid transmembrane transporter activity (GO:0015173)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transmembrane transporter activity (GO:0015172)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
amino acid transmembrane transporter activity (GO:0015171)	100	0	.09	-	 < 0.01	1.00E00	1.00E00
Rho-dependent protein serine/threonine kinase activity (GO:0072518)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
P-type sodium:potassium-exchanging transporter activity (GO:0005391)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
RAGE receptor binding (GO:0050786)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
advanced glycation end-product receptor activity (GO:0050785)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-tubulin binding (GO:0048487)	43	0	.04	-	 < 0.01	1.00E00	1.00E00
dopamine receptor binding (GO:0050780)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
3'-flap-structured DNA binding (GO:0070337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
flap-structured DNA binding (GO:0070336)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartate binding (GO:0070335)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol transmembrane transporter activity (GO:0015168)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
aromatase activity (GO:0070330)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
polyol transmembrane transporter activity (GO:0015166)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
glucuronoside transmembrane transporter activity (GO:0015164)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity (GO:0005388)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transporter activity (GO:0005385)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
manganese ion transmembrane transporter activity (GO:0005384)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transporter activity (GO:0005381)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle receptor binding (GO:0070326)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor binding (GO:0070325)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
thyroid hormone binding (GO:0070324)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid derivative binding (GO:1901567)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
oligosaccharide transmembrane transporter activity (GO:0015157)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
inward rectifier potassium channel inhibitor activity (GO:0070320)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
disaccharide transmembrane transporter activity (GO:0015154)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate transmembrane transporter activity (GO:0015152)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-glucoside transmembrane transporter activity (GO:0015151)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fucose transmembrane transporter activity (GO:0015150)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
copper ion transmembrane transporter activity (GO:0005375)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
water transmembrane transporter activity (GO:0005372)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
tricarboxylate secondary active transmembrane transporter activity (GO:0005371)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hexose transmembrane transporter activity (GO:0015149)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
pentose transmembrane transporter activity (GO:0015146)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
monosaccharide transmembrane transporter activity (GO:0015145)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transporter activity (GO:0015144)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
urate transmembrane transporter activity (GO:0015143)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transmembrane transporter activity (GO:0015142)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transporter activity (GO:0015141)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transporter activity (GO:0015140)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ribitol beta-1,4-xylosyltransferase activity (GO:0120053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
taurine:sodium symporter activity (GO:0005369)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
taurine transmembrane transporter activity (GO:0005368)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
myo-inositol:sodium symporter activity (GO:0005367)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
myo-inositol:proton symporter activity (GO:0005366)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myo-inositol transmembrane transporter activity (GO:0005365)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
low-affinity D-glucose:sodium symporter activity (GO:0005362)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle receptor binding (GO:0050750)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty aldehyde dehydrogenase (NAD+) activity (GO:0102673)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-ketoglutarate transmembrane transporter activity (GO:0015139)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
fumarate transmembrane transporter activity (GO:0015138)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellularly ATP-gated ion channel activity (GO:0099142)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
citrate transmembrane transporter activity (GO:0015137)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid binding (GO:0070300)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
sialic acid transmembrane transporter activity (GO:0015136)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucuronate transmembrane transporter activity (GO:0015135)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U6 snRNA (adenine-(43)-N(6))-methyltransferase activity (GO:0120048)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
prostaglandin transmembrane transporter activity (GO:0015132)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
oxaloacetate transmembrane transporter activity (GO:0015131)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mevalonate transmembrane transporter activity (GO:0015130)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052926)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity (GO:0052925)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D-glucose:proton symporter activity (GO:0005356)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity (GO:0052923)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
galactose transmembrane transporter activity (GO:0005354)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose transmembrane transporter activity (GO:0005353)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate:proton symporter activity (GO:0005351)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase transmembrane transporter activity (GO:0005350)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transporter activity (GO:0015129)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
bilirubin transmembrane transporter activity (GO:0015127)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
canalicular bile acid transmembrane transporter activity (GO:0015126)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
estrogen binding (GO:0099130)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bile acid transmembrane transporter activity (GO:0015125)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase inhibitor activity (GO:0036487)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052918)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity (GO:0052917)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP transmembrane transporter activity (GO:0005347)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide transmembrane transporter activity (GO:0005346)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleobase transmembrane transporter activity (GO:0005345)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
oxygen carrier activity (GO:0005344)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
organic acid:sodium symporter activity (GO:0005343)	35	0	.03	-	 < 0.01	1.00E00	1.00E00
organic acid transmembrane transporter activity (GO:0005342)	188	0	.16	-	 < 0.01	1.00E00	1.00E00
RS domain binding (GO:0050733)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
hexose phosphate transmembrane transporter activity (GO:0015119)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II C-terminal domain binding (GO:0099122)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
thiosulfate transmembrane transporter activity (GO:0015117)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transporter activity (GO:0015116)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrate transmembrane transporter activity (GO:0015112)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
iodide transmembrane transporter activity (GO:0015111)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxidase inhibitor activity (GO:0036479)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-dopa decarboxylase activator activity (GO:0036478)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity (GO:0052909)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucagon family peptide binding (GO:0120022)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
23S rRNA (adenine(1618)-N(6))-methyltransferase activity (GO:0052907)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol transfer activity (GO:0120020)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar transmembrane transporter activity (GO:0005338)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(37)-N1)-methyltransferase activity (GO:0052906)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside transmembrane transporter activity (GO:0005337)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (guanosine(9)-N1)-methyltransferase activity (GO:0052905)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
serotonin:sodium:chloride symporter activity (GO:0005335)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
N(1)-acetylpolyamine oxidase (3-acetamidopropanal-forming) activity (GO:0052903)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
norepinephrine:sodium symporter activity (GO:0005334)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tyrosine 3-monooxygenase activator activity (GO:0036470)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
spermine oxidase activity (GO:0052901)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid:sodium:chloride symporter activity (GO:0005332)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
dopamine:sodium symporter activity (GO:0005330)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
chloride transmembrane transporter activity (GO:0015108)	119	0	.10	-	 < 0.01	1.00E00	1.00E00
bicarbonate transmembrane transporter activity (GO:0015106)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine transfer activity (GO:0120019)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide transfer activity (GO:0120017)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transporter activity (GO:0015103)	162	0	.14	-	 < 0.01	1.00E00	1.00E00
sphingolipid transfer activity (GO:0120016)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
sterol transfer activity (GO:0120015)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
organic cation transmembrane transporter activity (GO:0015101)	81	0	.07	-	 < 0.01	1.00E00	1.00E00
phospholipid transfer activity (GO:0120014)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
vanadium ion transmembrane transporter activity (GO:0015100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid transfer activity (GO:0120013)	68	0	.06	-	 < 0.01	1.00E00	1.00E00
L-dopa decarboxylase activity (GO:0036468)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5-hydroxy-L-tryptophan decarboxylase activity (GO:0036467)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter:sodium symporter activity (GO:0005328)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter transmembrane transporter activity (GO:0005326)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAIL receptor activity (GO:0036463)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transmembrane transporter activity (GO:0005324)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
BLOC-2 complex binding (GO:0036461)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ion channel regulator activity (GO:0099106)	175	0	.15	-	 < 0.01	1.00E00	1.00E00
potassium channel activator activity (GO:0099104)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
channel activator activity (GO:0099103)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative transmembrane transporter activity (GO:1901505)	54	0	.05	-	 < 0.01	1.00E00	1.00E00
hepatocyte growth factor binding (GO:0036458)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid transporter activity (GO:0005319)	187	0	.16	-	 < 0.01	1.00E00	1.00E00
L-methionine-(S)-S-oxide reductase activity (GO:0036456)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
high-affinity phosphate:sodium symporter activity (GO:0005316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphate transmembrane transporter activity (GO:0005315)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
high-affinity L-glutamate transmembrane transporter activity (GO:0005314)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transporter activity (GO:0005313)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid transmembrane transporter activity (GO:0005310)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor binding (GO:0048408)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor binding (GO:0048407)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
nerve growth factor binding (GO:0048406)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
CARD domain binding (GO:0050700)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
brain-derived neurotrophic factor binding (GO:0048403)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
