




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cortical cytoskeleton organization (GO:0030865)	55	27	7.93	+	3.40	1.07E-09	4.16E-08
ribonucleoprotein complex biogenesis (GO:0022613)	457	224	65.91	+	3.40	6.89E-71	4.42E-68
lipid oxidation (GO:0034440)	90	44	12.98	+	3.39	7.81E-15	5.33E-13
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	129	63	18.60	+	3.39	1.36E-20	1.39E-18
actin filament capping (GO:0051693)	35	17	5.05	+	3.37	1.62E-06	4.01E-05
pyruvate metabolic process (GO:0006090)	70	34	10.10	+	3.37	1.10E-11	5.74E-10
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	35	17	5.05	+	3.37	1.62E-06	4.00E-05
establishment of protein localization to mitochondrial membrane (GO:0090151)	33	16	4.76	+	3.36	3.39E-06	8.02E-05
ribosome assembly (GO:0042255)	66	32	9.52	+	3.36	4.72E-11	2.20E-09
positive regulation of viral genome replication (GO:0045070)	31	15	4.47	+	3.36	7.08E-06	1.56E-04
protein insertion into ER membrane (GO:0045048)	31	15	4.47	+	3.36	7.08E-06	1.56E-04
protein insertion into mitochondrial membrane (GO:0051204)	31	15	4.47	+	3.36	7.08E-06	1.56E-04
ATP metabolic process (GO:0046034)	172	83	24.81	+	3.35	3.08E-26	4.06E-24
regulation of translational initiation (GO:0006446)	85	41	12.26	+	3.34	1.14E-13	7.31E-12
nuclear migration (GO:0007097)	27	13	3.89	+	3.34	3.12E-05	6.01E-04
dicarboxylic acid metabolic process (GO:0043648)	104	50	15.00	+	3.33	2.79E-16	2.10E-14
ribosomal large subunit assembly (GO:0000027)	25	12	3.61	+	3.33	6.57E-05	1.17E-03
purine ribonucleoside diphosphate metabolic process (GO:0009179)	73	35	10.53	+	3.32	8.85E-12	4.71E-10
purine nucleoside diphosphate metabolic process (GO:0009135)	73	35	10.53	+	3.32	8.85E-12	4.70E-10
regulation of transcription by RNA polymerase I (GO:0006356)	48	23	6.92	+	3.32	3.30E-08	1.04E-06
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	69	33	9.95	+	3.32	3.77E-11	1.78E-09
COPII vesicle coating (GO:0048208)	23	11	3.32	+	3.32	1.39E-04	2.27E-03
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	23	11	3.32	+	3.32	1.39E-04	2.27E-03
RNA transport (GO:0050658)	159	76	22.93	+	3.31	8.22E-24	1.01E-21
nucleic acid transport (GO:0050657)	159	76	22.93	+	3.31	8.22E-24	1.00E-21
purine nucleoside triphosphate metabolic process (GO:0009144)	203	97	29.28	+	3.31	5.22E-30	8.47E-28
nucleoside diphosphate metabolic process (GO:0009132)	90	43	12.98	+	3.31	4.43E-14	2.87E-12
mRNA transport (GO:0051028)	134	64	19.33	+	3.31	3.00E-20	2.99E-18
endosome transport via multivesicular body sorting pathway (GO:0032509)	44	21	6.35	+	3.31	1.42E-07	4.23E-06
ribonucleoside diphosphate metabolic process (GO:0009185)	86	41	12.40	+	3.31	1.88E-13	1.19E-11
endoplasmic reticulum tubular network organization (GO:0071786)	21	10	3.03	+	3.30	2.93E-04	4.43E-03
ribosome disassembly (GO:0032790)	42	20	6.06	+	3.30	2.95E-07	8.46E-06
regulation of translation in response to stress (GO:0043555)	21	10	3.03	+	3.30	2.93E-04	4.42E-03
positive regulation of nucleocytoplasmic transport (GO:0046824)	61	29	8.80	+	3.30	6.87E-10	2.75E-08
establishment of protein localization to vacuole (GO:0072666)	59	28	8.51	+	3.29	1.42E-09	5.34E-08
purine ribonucleoside triphosphate metabolic process (GO:0009205)	196	93	28.27	+	3.29	1.57E-28	2.28E-26
negative regulation of ferroptosis (GO:0110076)	19	9	2.74	+	3.28	6.23E-04	8.45E-03
RNA 5'-end processing (GO:0000966)	38	18	5.48	+	3.28	1.28E-06	3.22E-05
purine ribonucleoside diphosphate catabolic process (GO:0009181)	57	27	8.22	+	3.28	2.93E-09	1.07E-07
purine nucleoside diphosphate catabolic process (GO:0009137)	57	27	8.22	+	3.28	2.93E-09	1.06E-07
vesicle coating (GO:0006901)	36	17	5.19	+	3.27	2.66E-06	6.44E-05
establishment of RNA localization (GO:0051236)	161	76	23.22	+	3.27	2.20E-23	2.57E-21
protein localization to mitochondrion (GO:0070585)	70	33	10.10	+	3.27	6.15E-11	2.83E-09
RNA splicing (GO:0008380)	382	180	55.09	+	3.27	1.03E-53	3.89E-51
sulfur amino acid metabolic process (GO:0000096)	34	16	4.90	+	3.26	5.54E-06	1.26E-04
regulation of plasma membrane organization (GO:1903729)	17	8	2.45	+	3.26	1.33E-03	1.62E-02
positive regulation of transcription by RNA polymerase III (GO:0045945)	17	8	2.45	+	3.26	1.33E-03	1.61E-02
ribose phosphate biosynthetic process (GO:0046390)	168	79	24.23	+	3.26	4.06E-24	5.04E-22
mitochondrial gene expression (GO:0140053)	147	69	21.20	+	3.25	3.48E-21	3.72E-19
protein export from nucleus (GO:0006611)	32	15	4.61	+	3.25	1.16E-05	2.41E-04
glutamate metabolic process (GO:0006536)	32	15	4.61	+	3.25	1.16E-05	2.41E-04
aspartate family amino acid metabolic process (GO:0009066)	47	22	6.78	+	3.25	1.11E-07	3.33E-06
ribonucleoside diphosphate catabolic process (GO:0009191)	62	29	8.94	+	3.24	1.11E-09	4.30E-08
nucleoside diphosphate catabolic process (GO:0009134)	62	29	8.94	+	3.24	1.11E-09	4.29E-08
energy derivation by oxidation of organic compounds (GO:0015980)	310	145	44.71	+	3.24	6.44E-43	1.56E-40
nitrogen cycle metabolic process (GO:0071941)	15	7	2.16	+	3.24	2.85E-03	3.00E-02
response to manganese ion (GO:0010042)	15	7	2.16	+	3.24	2.85E-03	3.00E-02
nonribosomal peptide biosynthetic process (GO:0019184)	15	7	2.16	+	3.24	2.85E-03	2.99E-02
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	15	7	2.16	+	3.24	2.85E-03	2.99E-02
actin filament severing (GO:0051014)	15	7	2.16	+	3.24	2.85E-03	2.99E-02
pteridine-containing compound biosynthetic process (GO:0042559)	15	7	2.16	+	3.24	2.85E-03	2.99E-02
pyruvate family amino acid catabolic process (GO:0009080)	15	7	2.16	+	3.24	2.85E-03	2.99E-02
lysosomal membrane organization (GO:0097212)	15	7	2.16	+	3.24	2.85E-03	2.98E-02
rRNA processing (GO:0006364)	217	101	31.30	+	3.23	5.26E-30	8.43E-28
nucleoside phosphate biosynthetic process (GO:1901293)	299	139	43.12	+	3.22	8.45E-41	1.95E-38
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	28	13	4.04	+	3.22	5.05E-05	9.42E-04
amino acid biosynthetic process (GO:0008652)	69	32	9.95	+	3.22	2.04E-10	8.70E-09
negative regulation of actin filament depolymerization (GO:0030835)	41	19	5.91	+	3.21	9.89E-07	2.55E-05
ribonucleotide biosynthetic process (GO:0009260)	162	75	23.36	+	3.21	1.90E-22	2.09E-20
regulation of ERAD pathway (GO:1904292)	26	12	3.75	+	3.20	1.06E-04	1.80E-03
nucleoside triphosphate metabolic process (GO:0009141)	222	102	32.02	+	3.19	1.04E-29	1.63E-27
purine ribonucleotide biosynthetic process (GO:0009152)	146	67	21.06	+	3.18	6.04E-20	5.87E-18
cellular response to aldehyde (GO:0110096)	24	11	3.46	+	3.18	2.23E-04	3.47E-03
midbody abscission (GO:0061952)	24	11	3.46	+	3.18	2.23E-04	3.47E-03
protein import into mitochondrial matrix (GO:0030150)	24	11	3.46	+	3.18	2.23E-04	3.47E-03
hydrogen peroxide metabolic process (GO:0042743)	35	16	5.05	+	3.17	8.84E-06	1.91E-04
substantia nigra development (GO:0021762)	46	21	6.63	+	3.17	3.66E-07	1.03E-05
nucleotide-sugar metabolic process (GO:0009225)	46	21	6.63	+	3.17	3.66E-07	1.03E-05
purine-containing compound biosynthetic process (GO:0072522)	239	109	34.47	+	3.16	2.60E-31	4.86E-29
protein folding (GO:0006457)	222	101	32.02	+	3.15	5.37E-29	8.08E-27
regulation of inclusion body assembly (GO:0090083)	22	10	3.17	+	3.15	4.68E-04	6.57E-03
intrinsic apoptotic signaling pathway in response to oxidative stress (GO:0008631)	22	10	3.17	+	3.15	4.68E-04	6.56E-03
response to thyroid hormone (GO:0097066)	22	10	3.17	+	3.15	4.68E-04	6.56E-03
nucleotide biosynthetic process (GO:0009165)	212	96	30.57	+	3.14	1.98E-27	2.68E-25
nucleoside monophosphate metabolic process (GO:0009123)	84	38	12.11	+	3.14	1.08E-11	5.61E-10
ribosome biogenesis (GO:0042254)	311	140	44.85	+	3.12	4.10E-39	9.04E-37
response to misfolded protein (GO:0051788)	20	9	2.88	+	3.12	9.89E-04	1.28E-02
transcytosis (GO:0045056)	20	9	2.88	+	3.12	9.89E-04	1.28E-02
negative regulation of release of cytochrome c from mitochondria (GO:0090201)	20	9	2.88	+	3.12	9.89E-04	1.28E-02
purine nucleotide salvage (GO:0032261)	20	9	2.88	+	3.12	9.89E-04	1.28E-02
positive regulation of protein export from nucleus (GO:0046827)	20	9	2.88	+	3.12	9.89E-04	1.28E-02
histone mRNA metabolic process (GO:0008334)	20	9	2.88	+	3.12	9.89E-04	1.28E-02
Arp2/3 complex-mediated actin nucleation (GO:0034314)	20	9	2.88	+	3.12	9.89E-04	1.28E-02
generation of precursor metabolites and energy (GO:0006091)	374	168	53.94	+	3.11	1.27E-46	3.48E-44
alcohol catabolic process (GO:0046164)	38	17	5.48	+	3.10	6.67E-06	1.48E-04
positive regulation of protein import into nucleus (GO:0042307)	38	17	5.48	+	3.10	6.67E-06	1.48E-04
regulation of lamellipodium assembly (GO:0010591)	38	17	5.48	+	3.10	6.67E-06	1.47E-04
metabolic compound salvage (GO:0043094)	47	21	6.78	+	3.10	5.72E-07	1.54E-05
purine nucleotide biosynthetic process (GO:0006164)	175	78	25.24	+	3.09	5.22E-22	5.67E-20
regulation of cholesterol biosynthetic process (GO:0045540)	27	12	3.89	+	3.08	1.66E-04	2.69E-03
cell redox homeostasis (GO:0045454)	45	20	6.49	+	3.08	1.18E-06	2.97E-05
regulation of microvillus organization (GO:0032530)	18	8	2.60	+	3.08	2.09E-03	2.34E-02
cellular response to misfolded protein (GO:0071218)	18	8	2.60	+	3.08	2.09E-03	2.34E-02
regulation of sterol biosynthetic process (GO:0106118)	27	12	3.89	+	3.08	1.66E-04	2.68E-03
protein depolymerization (GO:0051261)	36	16	5.19	+	3.08	1.38E-05	2.84E-04
regulation of receptor clustering (GO:1903909)	18	8	2.60	+	3.08	2.09E-03	2.34E-02
terpenoid biosynthetic process (GO:0016114)	18	8	2.60	+	3.08	2.09E-03	2.34E-02
synaptic vesicle lumen acidification (GO:0097401)	18	8	2.60	+	3.08	2.09E-03	2.33E-02
protein refolding (GO:0042026)	27	12	3.89	+	3.08	1.66E-04	2.68E-03
negative regulation of reactive oxygen species biosynthetic process (GO:1903427)	18	8	2.60	+	3.08	2.09E-03	2.33E-02
mRNA processing (GO:0006397)	466	207	67.21	+	3.08	2.31E-56	9.20E-54
positive regulation of viral process (GO:0048524)	61	27	8.80	+	3.07	1.83E-08	6.01E-07
receptor internalization (GO:0031623)	68	30	9.81	+	3.06	3.29E-09	1.18E-07
nucleocytoplasmic transport (GO:0006913)	254	112	36.63	+	3.06	1.62E-30	2.81E-28
maintenance of protein location in cell (GO:0032507)	59	26	8.51	+	3.06	3.74E-08	1.16E-06
multivesicular body sorting pathway (GO:0071985)	50	22	7.21	+	3.05	4.29E-07	1.18E-05
regulation of receptor recycling (GO:0001919)	25	11	3.61	+	3.05	3.46E-04	5.08E-03
modulation by symbiont of entry into host (GO:0052372)	25	11	3.61	+	3.05	3.46E-04	5.07E-03
negative regulation of amide metabolic process (GO:0034249)	25	11	3.61	+	3.05	3.46E-04	5.07E-03
nuclear transport (GO:0051169)	255	112	36.78	+	3.05	2.49E-30	4.13E-28
organelle disassembly (GO:1903008)	73	32	10.53	+	3.04	1.21E-09	4.64E-08
regulation of RNA splicing (GO:0043484)	194	85	27.98	+	3.04	3.04E-23	3.53E-21
Golgi vesicle transport (GO:0048193)	297	130	42.83	+	3.04	7.81E-35	1.56E-32
protein localization to lysosome (GO:0061462)	48	21	6.92	+	3.03	8.79E-07	2.28E-05
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	16	7	2.31	+	3.03	4.45E-03	4.30E-02
purine nucleoside bisphosphate metabolic process (GO:0034032)	16	7	2.31	+	3.03	4.45E-03	4.30E-02
negative regulation of cGAS/STING signaling pathway (GO:0160049)	16	7	2.31	+	3.03	4.45E-03	4.30E-02
dicarboxylic acid catabolic process (GO:0043649)	16	7	2.31	+	3.03	4.45E-03	4.29E-02
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	16	7	2.31	+	3.03	4.45E-03	4.29E-02
non-proteinogenic amino acid biosynthetic process (GO:0170043)	16	7	2.31	+	3.03	4.45E-03	4.29E-02
aspartate family amino acid catabolic process (GO:0009068)	16	7	2.31	+	3.03	4.45E-03	4.28E-02
sno(s)RNA metabolic process (GO:0016074)	16	7	2.31	+	3.03	4.45E-03	4.28E-02
ribonucleoside bisphosphate metabolic process (GO:0033875)	16	7	2.31	+	3.03	4.45E-03	4.28E-02
nucleoside bisphosphate metabolic process (GO:0033865)	16	7	2.31	+	3.03	4.45E-03	4.28E-02
protein insertion into membrane (GO:0051205)	71	31	10.24	+	3.03	2.47E-09	9.06E-08
maintenance of blood-brain barrier (GO:0035633)	39	17	5.62	+	3.02	1.02E-05	2.17E-04
telomere maintenance via telomerase (GO:0007004)	23	10	3.32	+	3.01	7.22E-04	9.68E-03
regulation of protein exit from endoplasmic reticulum (GO:0070861)	23	10	3.32	+	3.01	7.22E-04	9.67E-03
aldehyde metabolic process (GO:0006081)	69	30	9.95	+	3.01	5.02E-09	1.76E-07
rRNA metabolic process (GO:0016072)	256	111	36.92	+	3.01	1.81E-29	2.81E-27
epiboly involved in wound healing (GO:0090505)	30	13	4.33	+	3.00	1.22E-04	2.02E-03
wound healing, spreading of cells (GO:0044319)	30	13	4.33	+	3.00	1.22E-04	2.01E-03
purine nucleotide metabolic process (GO:0006163)	372	161	53.65	+	3.00	3.71E-42	8.83E-40
establishment of protein localization to organelle (GO:0072594)	354	153	51.05	+	3.00	5.16E-40	1.17E-37
regulation of mitotic spindle organization (GO:0060236)	44	19	6.35	+	2.99	3.69E-06	8.72E-05
negative regulation of actin filament polymerization (GO:0030837)	51	22	7.36	+	2.99	6.52E-07	1.74E-05
negative regulation of protein polymerization (GO:0032272)	65	28	9.37	+	2.99	2.08E-08	6.71E-07
endocytic recycling (GO:0032456)	79	34	11.39	+	2.98	6.74E-10	2.70E-08
endoplasmic reticulum organization (GO:0007029)	100	43	14.42	+	2.98	3.98E-12	2.23E-10
fatty-acyl-CoA biosynthetic process (GO:0046949)	28	12	4.04	+	2.97	2.52E-04	3.84E-03
glycolipid catabolic process (GO:0019377)	21	9	3.03	+	2.97	1.51E-03	1.81E-02
mitochondrial calcium ion transmembrane transport (GO:0006851)	21	9	3.03	+	2.97	1.51E-03	1.81E-02
dicarboxylic acid biosynthetic process (GO:0043650)	21	9	3.03	+	2.97	1.51E-03	1.80E-02
glutamine family amino acid catabolic process (GO:0009065)	21	9	3.03	+	2.97	1.51E-03	1.80E-02
nucleotide metabolic process (GO:0009117)	434	185	62.59	+	2.96	3.53E-47	1.00E-44
hexose catabolic process (GO:0019320)	54	23	7.79	+	2.95	4.81E-07	1.32E-05
protein targeting to vacuole (GO:0006623)	47	20	6.78	+	2.95	2.71E-06	6.56E-05
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	40	17	5.77	+	2.95	1.54E-05	3.14E-04
vesicle tethering (GO:0099022)	33	14	4.76	+	2.94	8.88E-05	1.55E-03
GTP metabolic process (GO:0046039)	26	11	3.75	+	2.93	5.22E-04	7.24E-03
cellular response to platelet-derived growth factor stimulus (GO:0036120)	26	11	3.75	+	2.93	5.22E-04	7.23E-03
acyl-CoA metabolic process (GO:0006637)	97	41	13.99	+	2.93	2.44E-11	1.18E-09
thioester metabolic process (GO:0035383)	97	41	13.99	+	2.93	2.44E-11	1.18E-09
positive regulation of DNA biosynthetic process (GO:2000573)	45	19	6.49	+	2.93	5.52E-06	1.26E-04
regulation of telomere maintenance via telomerase (GO:0032210)	45	19	6.49	+	2.93	5.52E-06	1.26E-04
fatty-acyl-CoA metabolic process (GO:0035337)	45	19	6.49	+	2.93	5.52E-06	1.26E-04
post-Golgi vesicle-mediated transport (GO:0006892)	102	43	14.71	+	2.92	8.90E-12	4.69E-10
response to lead ion (GO:0010288)	19	8	2.74	+	2.92	3.16E-03	3.19E-02
Golgi to vacuole transport (GO:0006896)	19	8	2.74	+	2.92	3.16E-03	3.19E-02
NLS-bearing protein import into nucleus (GO:0006607)	19	8	2.74	+	2.92	3.16E-03	3.19E-02
protein localization to vacuole (GO:0072665)	76	32	10.96	+	2.92	4.12E-09	1.45E-07
monosaccharide biosynthetic process (GO:0046364)	57	24	8.22	+	2.92	3.53E-07	9.99E-06
nucleobase-containing small molecule metabolic process (GO:0055086)	612	257	88.26	+	2.91	5.64E-64	2.87E-61
cellular detoxification (GO:1990748)	112	47	16.15	+	2.91	1.19E-12	7.01E-11
epiboly (GO:0090504)	31	13	4.47	+	2.91	1.82E-04	2.91E-03
actin filament bundle assembly (GO:0051017)	62	26	8.94	+	2.91	1.28E-07	3.81E-06
serine family amino acid metabolic process (GO:0009069)	31	13	4.47	+	2.91	1.82E-04	2.91E-03
positive regulation of protein localization to nucleus (GO:1900182)	93	39	13.41	+	2.91	9.89E-11	4.46E-09
regulation of nucleocytoplasmic transport (GO:0046822)	117	49	16.87	+	2.90	4.34E-13	2.67E-11
ERBB2 signaling pathway (GO:0038128)	24	10	3.46	+	2.89	1.08E-03	1.35E-02
positive regulation of mitophagy (GO:1901526)	24	10	3.46	+	2.89	1.08E-03	1.35E-02
regulation of establishment of cell polarity (GO:2000114)	24	10	3.46	+	2.89	1.08E-03	1.35E-02
intracellular cholesterol transport (GO:0032367)	24	10	3.46	+	2.89	1.08E-03	1.35E-02
nucleoside phosphate metabolic process (GO:0006753)	588	245	84.80	+	2.89	3.59E-60	1.66E-57
pyrimidine nucleotide biosynthetic process (GO:0006221)	36	15	5.19	+	2.89	6.43E-05	1.15E-03
maintenance of location in cell (GO:0051651)	77	32	11.10	+	2.88	6.08E-09	2.09E-07
response to angiotensin (GO:1990776)	41	17	5.91	+	2.88	2.28E-05	4.51E-04
purine-containing compound metabolic process (GO:0072521)	509	211	73.41	+	2.87	2.36E-51	8.11E-49
protein localization to endoplasmic reticulum (GO:0070972)	29	12	4.18	+	2.87	3.74E-04	5.45E-03
isoprenoid biosynthetic process (GO:0008299)	29	12	4.18	+	2.87	3.74E-04	5.44E-03
regulation of synaptic vesicle recycling (GO:1903421)	29	12	4.18	+	2.87	3.74E-04	5.44E-03
monosaccharide catabolic process (GO:0046365)	58	24	8.36	+	2.87	5.19E-07	1.41E-05
organic acid catabolic process (GO:0016054)	233	96	33.60	+	2.86	1.18E-23	1.41E-21
carboxylic acid catabolic process (GO:0046395)	233	96	33.60	+	2.86	1.18E-23	1.40E-21
gluconeogenesis (GO:0006094)	51	21	7.36	+	2.86	2.91E-06	6.98E-05
regulation of spindle assembly (GO:0090169)	34	14	4.90	+	2.86	1.31E-04	2.16E-03
ribose phosphate metabolic process (GO:0019693)	326	134	47.01	+	2.85	2.08E-32	3.98E-30
amino acid metabolic process (GO:0006520)	280	115	40.38	+	2.85	6.13E-28	8.61E-26
regulation of actin filament depolymerization (GO:0030834)	56	23	8.08	+	2.85	1.05E-06	2.69E-05
response to nitric oxide (GO:0071731)	22	9	3.17	+	2.84	2.23E-03	2.43E-02
regulation of mitochondrial depolarization (GO:0051900)	22	9	3.17	+	2.84	2.23E-03	2.43E-02
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	44	18	6.35	+	2.84	1.64E-05	3.33E-04
modification of synaptic structure (GO:0099563)	22	9	3.17	+	2.84	2.23E-03	2.43E-02
positive regulation of viral life cycle (GO:1903902)	22	9	3.17	+	2.84	2.23E-03	2.43E-02
regulation of amyloid precursor protein catabolic process (GO:1902991)	44	18	6.35	+	2.84	1.64E-05	3.33E-04
protein import into nucleus (GO:0006606)	125	51	18.03	+	2.83	4.95E-13	3.03E-11
ribonucleotide metabolic process (GO:0009259)	319	130	46.01	+	2.83	4.99E-31	8.99E-29
hexose biosynthetic process (GO:0019319)	54	22	7.79	+	2.82	2.10E-06	5.16E-05
bile acid biosynthetic process (GO:0006699)	27	11	3.89	+	2.82	7.66E-04	1.02E-02
sulfur compound biosynthetic process (GO:0044272)	108	44	15.58	+	2.82	2.05E-11	1.01E-09
amyloid-beta clearance (GO:0097242)	27	11	3.89	+	2.82	7.66E-04	1.02E-02
positive regulation of autophagy of mitochondrion (GO:1903599)	27	11	3.89	+	2.82	7.66E-04	1.02E-02
regulation of nitric oxide biosynthetic process (GO:0045428)	59	24	8.51	+	2.82	7.56E-07	1.99E-05
mitotic cytokinetic process (GO:1902410)	32	13	4.61	+	2.82	2.67E-04	4.05E-03
nucleus localization (GO:0051647)	32	13	4.61	+	2.82	2.67E-04	4.05E-03
regulation of protein export from nucleus (GO:0046825)	37	15	5.34	+	2.81	9.38E-05	1.63E-03
import into nucleus (GO:0051170)	131	53	18.89	+	2.81	2.61E-13	1.63E-11
mitotic cytokinesis (GO:0000281)	89	36	12.84	+	2.80	1.70E-09	6.29E-08
purine ribonucleotide metabolic process (GO:0009150)	297	120	42.83	+	2.80	2.54E-28	3.64E-26
nucleus organization (GO:0006997)	151	61	21.78	+	2.80	4.58E-15	3.20E-13
response to epidermal growth factor (GO:0070849)	52	21	7.50	+	2.80	4.22E-06	9.77E-05
intracellular protein transport (GO:0006886)	545	220	78.60	+	2.80	3.43E-51	1.12E-48
cytokinesis (GO:0000910)	119	48	17.16	+	2.80	3.92E-12	2.20E-10
cellular oxidant detoxification (GO:0098869)	82	33	11.83	+	2.79	9.31E-09	3.15E-07
alcohol biosynthetic process (GO:0046165)	97	39	13.99	+	2.79	4.45E-10	1.83E-08
regulation of ATP biosynthetic process (GO:2001169)	20	8	2.88	+	2.77	4.61E-03	4.41E-02
positive regulation of superoxide anion generation (GO:0032930)	20	8	2.88	+	2.77	4.61E-03	4.40E-02
modification of postsynaptic structure (GO:0099010)	20	8	2.88	+	2.77	4.61E-03	4.40E-02
mRNA 3'-end processing (GO:0031124)	40	16	5.77	+	2.77	6.69E-05	1.19E-03
fibroblast migration (GO:0010761)	20	8	2.88	+	2.77	4.61E-03	4.40E-02
positive regulation of signal transduction by p53 class mediator (GO:1901798)	35	14	5.05	+	2.77	1.90E-04	3.00E-03
glycosyl compound biosynthetic process (GO:1901659)	25	10	3.61	+	2.77	1.57E-03	1.86E-02
glucose metabolic process (GO:0006006)	130	52	18.75	+	2.77	7.44E-13	4.50E-11
ERAD pathway (GO:0036503)	95	38	13.70	+	2.77	8.84E-10	3.48E-08
post-transcriptional gene silencing (GO:0016441)	50	20	7.21	+	2.77	8.47E-06	1.83E-04
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	25	10	3.61	+	2.77	1.57E-03	1.86E-02
actin filament bundle organization (GO:0061572)	65	26	9.37	+	2.77	3.92E-07	1.09E-05
negative regulation of translational initiation (GO:0045947)	25	10	3.61	+	2.77	1.57E-03	1.86E-02
cellular response to interleukin-4 (GO:0071353)	30	12	4.33	+	2.77	5.42E-04	7.44E-03
negative regulation of nucleocytoplasmic transport (GO:0046823)	30	12	4.33	+	2.77	5.42E-04	7.43E-03
actin polymerization or depolymerization (GO:0008154)	60	24	8.65	+	2.77	1.09E-06	2.78E-05
maintenance of protein localization in organelle (GO:0072595)	45	18	6.49	+	2.77	2.37E-05	4.68E-04
mRNA metabolic process (GO:0016071)	625	249	90.14	+	2.76	1.13E-56	4.62E-54
positive regulation of telomere maintenance (GO:0032206)	73	29	10.53	+	2.75	1.02E-07	3.05E-06
peptide metabolic process (GO:0006518)	63	25	9.09	+	2.75	7.81E-07	2.05E-05
regulation of nitric oxide metabolic process (GO:0080164)	63	25	9.09	+	2.75	7.81E-07	2.05E-05
regulation of telomere maintenance via telomere lengthening (GO:1904356)	53	21	7.64	+	2.75	6.05E-06	1.36E-04
regulation of spindle organization (GO:0090224)	48	19	6.92	+	2.74	1.69E-05	3.42E-04
regulation of cytoplasmic translation (GO:2000765)	38	15	5.48	+	2.74	1.34E-04	2.21E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	38	15	5.48	+	2.74	1.34E-04	2.20E-03
mitochondrial membrane organization (GO:0007006)	114	45	16.44	+	2.74	4.36E-11	2.04E-09
maintenance of protein location (GO:0045185)	66	26	9.52	+	2.73	5.59E-07	1.51E-05
apoptotic mitochondrial changes (GO:0008637)	66	26	9.52	+	2.73	5.59E-07	1.51E-05
cellular response to angiotensin (GO:1904385)	33	13	4.76	+	2.73	3.82E-04	5.51E-03
cytoskeleton-dependent cytokinesis (GO:0061640)	117	46	16.87	+	2.73	3.13E-11	1.48E-09
regulation of establishment or maintenance of cell polarity (GO:0032878)	28	11	4.04	+	2.72	1.10E-03	1.37E-02
miRNA-mediated post-transcriptional gene silencing (GO:0035195)	28	11	4.04	+	2.72	1.10E-03	1.37E-02
viral life cycle (GO:0019058)	186	73	26.82	+	2.72	6.26E-17	4.86E-15
small molecule catabolic process (GO:0044282)	357	140	51.49	+	2.72	3.16E-31	5.77E-29
regulation of integrin-mediated signaling pathway (GO:2001044)	23	9	3.32	+	2.71	3.20E-03	3.22E-02
mitotic sister chromatid cohesion (GO:0007064)	23	9	3.32	+	2.71	3.20E-03	3.22E-02
cytokinetic process (GO:0032506)	46	18	6.63	+	2.71	3.38E-05	6.47E-04
miRNA metabolic process (GO:0010586)	23	9	3.32	+	2.71	3.20E-03	3.22E-02
regulation of mRNA metabolic process (GO:1903311)	320	125	46.15	+	2.71	8.23E-28	1.14E-25
NADH dehydrogenase complex assembly (GO:0010257)	41	16	5.91	+	2.71	9.51E-05	1.65E-03
mitochondrial respiratory chain complex I assembly (GO:0032981)	41	16	5.91	+	2.71	9.51E-05	1.65E-03
purine nucleotide catabolic process (GO:0006195)	95	37	13.70	+	2.70	3.52E-09	1.25E-07
purine-containing compound catabolic process (GO:0072523)	113	44	16.30	+	2.70	1.21E-10	5.36E-09
cellular response to toxic substance (GO:0097237)	126	49	18.17	+	2.70	1.15E-11	5.94E-10
purine ribonucleotide catabolic process (GO:0009154)	85	33	12.26	+	2.69	2.67E-08	8.50E-07
vesicle-mediated transport to the plasma membrane (GO:0098876)	134	52	19.33	+	2.69	3.00E-12	1.72E-10
regulation of actin filament polymerization (GO:0030833)	129	50	18.60	+	2.69	8.24E-12	4.42E-10
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	31	12	4.47	+	2.68	7.69E-04	1.02E-02
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)	31	12	4.47	+	2.68	7.69E-04	1.02E-02
regulation of ruffle assembly (GO:1900027)	31	12	4.47	+	2.68	7.69E-04	1.02E-02
biological process involved in interaction with host (GO:0051701)	150	58	21.63	+	2.68	2.04E-13	1.28E-11
