




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
fatty acid beta-oxidation (GO:0006635)	58	37	8.36	+	4.42	9.14E-18	7.58E-16
co-transcriptional RNA 3'-end processing, cleavage and polyadenylation pathway (GO:0180012)	11	7	1.59	+	4.41	2.49E-04	3.84E-03
regulation of Fc receptor mediated stimulatory signaling pathway (GO:0060368)	11	7	1.59	+	4.41	2.49E-04	3.84E-03
RNA localization to nucleus (GO:0090685)	11	7	1.59	+	4.41	2.49E-04	3.83E-03
RNA localization to Cajal body (GO:0090670)	11	7	1.59	+	4.41	2.49E-04	3.83E-03
regulation of lamellipodium morphogenesis (GO:2000392)	11	7	1.59	+	4.41	2.49E-04	3.83E-03
IMP biosynthetic process (GO:0006188)	11	7	1.59	+	4.41	2.49E-04	3.82E-03
oxaloacetate metabolic process (GO:0006107)	11	7	1.59	+	4.41	2.49E-04	3.82E-03
vesicle fusion with vacuole (GO:0051469)	11	7	1.59	+	4.41	2.49E-04	3.81E-03
protein deneddylation (GO:0000338)	11	7	1.59	+	4.41	2.49E-04	3.81E-03
peroxisome fission (GO:0016559)	11	7	1.59	+	4.41	2.49E-04	3.81E-03
