




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (427)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Golgi lumen (GO:0005796)	108	11	2.24	+	4.91	1.53E-05	3.59E-04
platelet alpha granule (GO:0031091)	91	9	1.89	+	4.77	1.14E-04	2.24E-03
proton-transporting two-sector ATPase complex (GO:0016469)	51	5	1.06	+	4.73	4.03E-03	4.67E-02
azurophil granule (GO:0042582)	154	15	3.20	+	4.69	7.90E-07	2.45E-05
primary lysosome (GO:0005766)	154	15	3.20	+	4.69	7.90E-07	2.42E-05
COPII-coated ER to Golgi transport vesicle (GO:0030134)	94	9	1.95	+	4.61	1.47E-04	2.80E-03
vacuolar lumen (GO:0005775)	179	17	3.71	+	4.58	2.10E-07	7.08E-06
ruffle membrane (GO:0032587)	100	9	2.07	+	4.34	2.35E-04	4.24E-03
clathrin-coated pit (GO:0005905)	78	7	1.62	+	4.33	1.17E-03	1.66E-02
caveola (GO:0005901)	82	7	1.70	+	4.11	1.57E-03	2.13E-02
cluster of actin-based cell projections (GO:0098862)	176	15	3.65	+	4.11	4.24E-06	1.12E-04
membrane microdomain (GO:0098857)	294	25	6.10	+	4.10	2.88E-09	1.35E-07
apical plasma membrane (GO:0016324)	425	35	8.82	+	3.97	4.45E-12	3.21E-10
membrane raft (GO:0045121)	292	24	6.06	+	3.96	1.17E-08	5.01E-07
apical part of cell (GO:0045177)	526	43	10.91	+	3.94	1.78E-14	2.00E-12
oxidoreductase complex (GO:1990204)	115	9	2.39	+	3.77	6.63E-04	9.99E-03
azurophil granule lumen (GO:0035578)	90	7	1.87	+	3.75	2.68E-03	3.28E-02
sperm principal piece (GO:0097228)	142	11	2.95	+	3.73	1.89E-04	3.46E-03
specific granule membrane (GO:0035579)	91	7	1.89	+	3.71	2.86E-03	3.47E-02
extracellular exosome (GO:0070062)	2102	161	43.61	+	3.69	9.12E-53	1.84E-49
extracellular vesicle (GO:1903561)	2131	162	44.21	+	3.66	1.06E-52	1.07E-49
extracellular organelle (GO:0043230)	2132	162	44.24	+	3.66	1.13E-52	7.59E-50
extracellular membrane-bounded organelle (GO:0065010)	2132	162	44.24	+	3.66	1.13E-52	5.69E-50
clathrin-coated endocytic vesicle (GO:0045334)	94	7	1.95	+	3.59	3.43E-03	4.05E-02
coated vesicle (GO:0030135)	323	24	6.70	+	3.58	8.02E-08	2.94E-06
secretory granule membrane (GO:0030667)	325	24	6.74	+	3.56	9.00E-08	3.19E-06
actin-based cell projection (GO:0098858)	231	17	4.79	+	3.55	7.20E-06	1.84E-04
basal plasma membrane (GO:0009925)	300	22	6.22	+	3.53	3.51E-07	1.16E-05
coated vesicle membrane (GO:0030662)	206	15	4.27	+	3.51	2.80E-05	6.01E-04
Golgi-associated vesicle (GO:0005798)	97	7	2.01	+	3.48	4.08E-03	4.71E-02
melanosome (GO:0042470)	112	8	2.32	+	3.44	2.34E-03	2.93E-02
pigment granule (GO:0048770)	112	8	2.32	+	3.44	2.34E-03	2.91E-02
vesicle lumen (GO:0031983)	332	23	6.89	+	3.34	5.18E-07	1.66E-05
plasma membrane raft (GO:0044853)	116	8	2.41	+	3.32	2.91E-03	3.49E-02
basal part of cell (GO:0045178)	319	22	6.62	+	3.32	9.89E-07	2.89E-05
secretory granule lumen (GO:0034774)	326	22	6.76	+	3.25	1.42E-06	4.03E-05
basolateral plasma membrane (GO:0016323)	267	18	5.54	+	3.25	1.30E-05	3.09E-04
endocytic vesicle membrane (GO:0030666)	208	14	4.32	+	3.24	1.20E-04	2.33E-03
cell-substrate junction (GO:0030055)	433	29	8.98	+	3.23	3.50E-08	1.36E-06
clathrin-coated vesicle (GO:0030136)	224	15	4.65	+	3.23	7.32E-05	1.46E-03
endocytic vesicle (GO:0030139)	360	24	7.47	+	3.21	5.87E-07	1.85E-05
actin filament (GO:0005884)	120	8	2.49	+	3.21	3.58E-03	4.20E-02
cytoplasmic vesicle lumen (GO:0060205)	331	22	6.87	+	3.20	1.82E-06	5.11E-05
late endosome (GO:0005770)	331	22	6.87	+	3.20	1.82E-06	5.04E-05
focal adhesion (GO:0005925)	423	28	8.78	+	3.19	7.73E-08	2.89E-06
endoplasmic reticulum protein-containing complex (GO:0140534)	121	8	2.51	+	3.19	3.77E-03	4.40E-02
late endosome membrane (GO:0031902)	182	12	3.78	+	3.18	4.36E-04	7.15E-03
lytic vacuole membrane (GO:0098852)	463	29	9.61	+	3.02	1.47E-07	5.11E-06
lysosomal membrane (GO:0005765)	463	29	9.61	+	3.02	1.47E-07	5.02E-06
transport vesicle membrane (GO:0030658)	259	16	5.37	+	2.98	1.10E-04	2.18E-03
