




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
poly-purine tract binding (GO:0070717)	31	15	4.47	+	3.36	7.08E-06	1.71E-04
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	60	29	8.65	+	3.35	4.18E-10	1.83E-08
poly-pyrimidine tract binding (GO:0008187)	29	14	4.18	+	3.35	1.49E-05	3.29E-04
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	123	59	17.74	+	3.33	6.81E-19	5.28E-17
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	132	63	19.04	+	3.31	6.18E-20	5.10E-18
carbohydrate kinase activity (GO:0019200)	21	10	3.03	+	3.30	2.93E-04	4.83E-03
ribosomal small subunit binding (GO:0043024)	21	10	3.03	+	3.30	2.93E-04	4.81E-03
ribonucleoprotein complex binding (GO:0043021)	181	86	26.10	+	3.29	1.56E-26	1.63E-24
GDP binding (GO:0019003)	78	37	11.25	+	3.29	3.40E-12	1.76E-10
RNA binding (GO:0003723)	1689	797	243.58	+	3.27	6.01E-256	3.08E-252
translation initiation factor binding (GO:0031369)	34	16	4.90	+	3.26	5.54E-06	1.38E-04
NAD+ binding (GO:0070403)	17	8	2.45	+	3.26	1.33E-03	1.78E-02
NADPH binding (GO:0070402)	17	8	2.45	+	3.26	1.33E-03	1.78E-02
active monoatomic ion transmembrane transporter activity (GO:0022853)	117	55	16.87	+	3.26	3.28E-17	2.30E-15
hexosaminidase activity (GO:0015929)	15	7	2.16	+	3.24	2.85E-03	3.49E-02
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	15	7	2.16	+	3.24	2.85E-03	3.49E-02
nucleosome binding (GO:0031491)	73	34	10.53	+	3.23	4.81E-11	2.32E-09
ribosome binding (GO:0043022)	116	54	16.73	+	3.23	1.09E-16	7.51E-15
poly(A) binding (GO:0008143)	26	12	3.75	+	3.20	1.06E-04	1.90E-03
mRNA binding (GO:0003729)	362	167	52.21	+	3.20	2.71E-48	4.96E-46
single-stranded RNA binding (GO:0003727)	87	40	12.55	+	3.19	1.62E-12	8.56E-11
cargo adaptor activity (GO:0140312)	22	10	3.17	+	3.15	4.68E-04	7.13E-03
C-acyltransferase activity (GO:0016408)	20	9	2.88	+	3.12	9.89E-04	1.40E-02
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	40	18	5.77	+	3.12	3.23E-06	8.47E-05
ubiquitin-specific protease binding (GO:1990381)	20	9	2.88	+	3.12	9.89E-04	1.40E-02
CoA-ligase activity (GO:0016405)	27	12	3.89	+	3.08	1.66E-04	2.92E-03
disordered domain specific binding (GO:0097718)	27	12	3.89	+	3.08	1.66E-04	2.91E-03
misfolded protein binding (GO:0051787)	18	8	2.60	+	3.08	2.09E-03	2.68E-02
2 iron, 2 sulfur cluster binding (GO:0051537)	27	12	3.89	+	3.08	1.66E-04	2.90E-03
phosphatidylglycerol binding (GO:1901611)	18	8	2.60	+	3.08	2.09E-03	2.67E-02
protein carrier chaperone (GO:0140597)	43	19	6.20	+	3.06	2.42E-06	6.70E-05
molecular carrier activity (GO:0140104)	120	53	17.31	+	3.06	3.32E-15	2.03E-13
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	34	15	4.90	+	3.06	2.85E-05	6.03E-04
fatty acid ligase activity (GO:0015645)	25	11	3.61	+	3.05	3.46E-04	5.55E-03
fatty acid-CoA ligase activity (GO:0120515)	25	11	3.61	+	3.05	3.46E-04	5.53E-03
ubiquitin-ubiquitin ligase activity (GO:0034450)	16	7	2.31	+	3.03	4.45E-03	4.93E-02
NADP binding (GO:0050661)	55	24	7.93	+	3.03	1.56E-07	5.03E-06
single-stranded DNA helicase activity (GO:0017116)	23	10	3.32	+	3.01	7.22E-04	1.04E-02
cell adhesion molecule binding (GO:0050839)	628	272	90.57	+	3.00	2.77E-71	1.18E-68
peroxidase activity (GO:0004601)	49	21	7.07	+	2.97	1.33E-06	3.87E-05
nucleobase-containing compound kinase activity (GO:0019205)	42	18	6.06	+	2.97	7.54E-06	1.81E-04
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	21	9	3.03	+	2.97	1.51E-03	2.00E-02
microtubule plus-end binding (GO:0051010)	21	9	3.03	+	2.97	1.51E-03	2.00E-02
tRNA binding (GO:0000049)	82	35	11.83	+	2.96	4.99E-10	2.16E-08
poly(U) RNA binding (GO:0008266)	26	11	3.75	+	2.93	5.22E-04	7.85E-03
estradiol 17-beta-dehydrogenase [NAD(P)+] activity (GO:0004303)	19	8	2.74	+	2.92	3.16E-03	3.66E-02
racemase and epimerase activity (GO:0016854)	19	8	2.74	+	2.92	3.16E-03	3.65E-02
cis-trans isomerase activity (GO:0016859)	43	18	6.20	+	2.90	1.12E-05	2.54E-04
ATPase-coupled ion transmembrane transporter activity (GO:0042625)	24	10	3.46	+	2.89	1.08E-03	1.49E-02
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	24	10	3.46	+	2.89	1.08E-03	1.49E-02
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	24	10	3.46	+	2.89	1.08E-03	1.48E-02
ubiquitin-protein transferase regulator activity (GO:0055106)	36	15	5.19	+	2.89	6.43E-05	1.21E-03
endopeptidase activator activity (GO:0061133)	29	12	4.18	+	2.87	3.74E-04	5.91E-03
mRNA 3'-UTR AU-rich region binding (GO:0035925)	29	12	4.18	+	2.87	3.74E-04	5.89E-03
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	51	21	7.36	+	2.86	2.91E-06	7.80E-05
DNA polymerase binding (GO:0070182)	22	9	3.17	+	2.84	2.23E-03	2.81E-02
antioxidant activity (GO:0016209)	76	31	10.96	+	2.83	1.78E-08	6.60E-07
ATPase activator activity (GO:0001671)	27	11	3.89	+	2.82	7.66E-04	1.10E-02
flavin adenine dinucleotide binding (GO:0050660)	87	35	12.55	+	2.79	3.38E-09	1.37E-07
G protein activity (GO:0003925)	102	41	14.71	+	2.79	1.62E-10	7.39E-09
pyridoxal phosphate binding (GO:0030170)	55	22	7.93	+	2.77	3.03E-06	8.08E-05
O-methyltransferase activity (GO:0008171)	25	10	3.61	+	2.77	1.57E-03	2.07E-02
ATPase regulator activity (GO:0060590)	50	20	7.21	+	2.77	8.47E-06	2.01E-04
cholesterol transfer activity (GO:0120020)	25	10	3.61	+	2.77	1.57E-03	2.06E-02
protein-folding chaperone binding (GO:0051087)	135	54	19.47	+	2.77	2.71E-13	1.54E-11
RNA helicase activity (GO:0003724)	76	30	10.96	+	2.74	7.29E-08	2.50E-06
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	61	24	8.80	+	2.73	1.55E-06	4.41E-05
laminin binding (GO:0043236)	28	11	4.04	+	2.72	1.10E-03	1.50E-02
vitamin B6 binding (GO:0070279)	56	22	8.08	+	2.72	4.32E-06	1.09E-04
glutathione peroxidase activity (GO:0004602)	23	9	3.32	+	2.71	3.20E-03	3.69E-02
double-stranded RNA binding (GO:0003725)	77	30	11.10	+	2.70	1.03E-07	3.42E-06
heat shock protein binding (GO:0031072)	130	50	18.75	+	2.67	1.15E-11	5.73E-10
monosaccharide binding (GO:0048029)	73	28	10.53	+	2.66	3.99E-07	1.25E-05
protein sequestering activity (GO:0140311)	47	18	6.78	+	2.66	4.74E-05	9.74E-04
Hsp90 protein binding (GO:0051879)	42	16	6.06	+	2.64	1.33E-04	2.37E-03
actin filament binding (GO:0051015)	208	79	30.00	+	2.63	3.17E-17	2.26E-15
ATP-dependent activity, acting on RNA (GO:0008186)	79	30	11.39	+	2.63	2.01E-07	6.39E-06
thiolester hydrolase activity (GO:0016790)	45	17	6.49	+	2.62	9.35E-05	1.70E-03
lysophospholipid acyltransferase activity (GO:0071617)	24	9	3.46	+	2.60	4.48E-03	4.94E-02
lysophosphatidic acid acyltransferase activity (GO:0042171)	24	9	3.46	+	2.60	4.48E-03	4.93E-02
